year,month,day,temperature
2010,01,01,-16
2010,01,02,-6
2010,01,03,-34
2010,01,04,-15
2010,01,05,-2
2010,01,06,-28
2010,01,07,-48
2010,01,08,-57
2010,01,09,-18
2010,01,10,-1
2010,01,11,-2
2010,01,12,-15
2010,01,13,-33
2010,01,14,3
2010,01,15,13
2010,01,16,11
2010,01,17,43
2010,01,18,37
2010,01,19,39
2010,01,20,22
2010,01,21,25
2010,01,22,24
2010,01,23,14
2010,01,24,-2
2010,01,25,-29
2010,01,26,-64
2010,01,27,-9
2010,01,28,35
2010,01,29,24
2010,01,30,3
2010,01,31,17
2010,02,01,5
2010,02,02,30
2010,02,03,23
2010,02,04,60
2010,02,05,42
2010,02,06,25
2010,02,07,9
2010,02,08,-33
2010,02,09,-28
2010,02,10,-24
2010,02,11,-19
2010,02,12,-21
2010,02,13,-12
2010,02,14,-24
2010,02,15,-32
2010,02,16,-6
2010,02,17,-3
2010,02,18,27
2010,02,19,31
2010,02,20,14
2010,02,21,4
2010,02,22,30
2010,02,23,15
2010,02,24,59
2010,02,25,76
2010,02,26,69
2010,02,27,63
2010,02,28,58
2010,03,01,39
2010,03,02,25
2010,03,03,21
2010,03,04,17
2010,03,05,23
2010,03,06,8
2010,03,07,-8
2010,03,08,12
2010,03,09,8
2010,03,10,7
2010,03,11,30
2010,03,12,43
2010,03,13,50
2010,03,14,61
2010,03,15,60
2010,03,16,58
2010,03,17,72
2010,03,18,104
2010,03,19,112
2010,03,20,129
2010,03,21,81
2010,03,22,75
2010,03,23,92
2010,03,24,128
2010,03,25,142
2010,03,26,104
2010,03,27,91
2010,03,28,80
2010,03,29,99
2010,03,30,98
2010,03,31,64
2010,04,01,56
2010,04,02,77
2010,04,03,71
2010,04,04,67
2010,04,05,70
2010,04,06,111
2010,04,07,128
2010,04,08,86
2010,04,09,94
2010,04,10,75
2010,04,11,71
2010,04,12,96
2010,04,13,96
2010,04,14,100
2010,04,15,90
2010,04,16,79
2010,04,17,75
2010,04,18,98
2010,04,19,89
2010,04,20,81
2010,04,21,63
2010,04,22,70
2010,04,23,83
2010,04,24,125
2010,04,25,133
2010,04,26,116
2010,04,27,128
2010,04,28,160
2010,04,29,168
2010,04,30,117
2010,05,01,105
2010,05,02,77
2010,05,03,66
2010,05,04,73
2010,05,05,83
2010,05,06,90
2010,05,07,80
2010,05,08,88
2010,05,09,85
2010,05,10,69
2010,05,11,77
2010,05,12,65
2010,05,13,72
2010,05,14,80
2010,05,15,94
2010,05,16,115
2010,05,17,112
2010,05,18,98
2010,05,19,111
2010,05,20,134
2010,05,21,134
2010,05,22,142
2010,05,23,162
2010,05,24,156
2010,05,25,125
2010,05,26,107
2010,05,27,107
2010,05,28,113
2010,05,29,142
2010,05,30,120
2010,05,31,126
2010,06,01,121
2010,06,02,151
2010,06,03,158
2010,06,04,165
2010,06,05,189
2010,06,06,180
2010,06,07,141
2010,06,08,164
2010,06,09,173
2010,06,10,179
2010,06,11,153
2010,06,12,134
2010,06,13,139
2010,06,14,160
2010,06,15,133
2010,06,16,154
2010,06,17,162
2010,06,18,131
2010,06,19,116
2010,06,20,113
2010,06,21,134
2010,06,22,148
2010,06,23,181
2010,06,24,187
2010,06,25,188
2010,06,26,193
2010,06,27,216
2010,06,28,211
2010,06,29,189
2010,06,30,196
2010,07,01,213
2010,07,02,257
2010,07,03,203
2010,07,04,192
2010,07,05,181
2010,07,06,161
2010,07,07,189
2010,07,08,213
2010,07,09,248
2010,07,10,244
2010,07,11,226
2010,07,12,201
2010,07,13,200
2010,07,14,211
2010,07,15,183
2010,07,16,185
2010,07,17,170
2010,07,18,178
2010,07,19,206
2010,07,20,237
2010,07,21,212
2010,07,22,180
2010,07,23,174
2010,07,24,162
2010,07,25,171
2010,07,26,166
2010,07,27,180
2010,07,28,180
2010,07,29,165
2010,07,30,179
2010,07,31,181
2010,08,01,183
2010,08,02,173
2010,08,03,176
2010,08,04,166
2010,08,05,155
2010,08,06,170
2010,08,07,172
2010,08,08,171
2010,08,09,183
2010,08,10,174
2010,08,11,170
2010,08,12,150
2010,08,13,155
2010,08,14,185
2010,08,15,178
2010,08,16,196
2010,08,17,166
2010,08,18,172
2010,08,19,175
2010,08,20,208
2010,08,21,208
2010,08,22,197
2010,08,23,188
2010,08,24,168
2010,08,25,165
2010,08,26,167
2010,08,27,147
2010,08,28,141
2010,08,29,135
2010,08,30,148
2010,08,31,132
2010,09,01,134
2010,09,02,136
2010,09,03,138
2010,09,04,141
2010,09,05,140
2010,09,06,154
2010,09,07,126
2010,09,08,151
2010,09,09,162
2010,09,10,158
2010,09,11,180
2010,09,12,153
2010,09,13,152
2010,09,14,163
2010,09,15,138
2010,09,16,126
2010,09,17,114
2010,09,18,120
2010,09,19,139
2010,09,20,157
2010,09,21,147
2010,09,22,161
2010,09,23,161
2010,09,24,148
2010,09,25,109
2010,09,26,94
2010,09,27,115
2010,09,28,129
2010,09,29,104
2010,09,30,108
2010,10,01,124
2010,10,02,158
2010,10,03,183
2010,10,04,178
2010,10,05,164
2010,10,06,156
2010,10,07,141
2010,10,08,150
2010,10,09,137
2010,10,10,117
2010,10,11,109
2010,10,12,101
2010,10,13,105
2010,10,14,108
2010,10,15,102
2010,10,16,78
2010,10,17,58
2010,10,18,81
2010,10,19,94
2010,10,20,66
2010,10,21,90
2010,10,22,105
2010,10,23,77
2010,10,24,82
2010,10,25,65
2010,10,26,72
2010,10,27,94
2010,10,28,117
2010,10,29,104
2010,10,30,112
2010,10,31,91
2010,11,01,87
2010,11,02,111
2010,11,03,107
2010,11,04,149
2010,11,05,133
2010,11,06,94
2010,11,07,62
2010,11,08,52
2010,11,09,48
2010,11,10,57
2010,11,11,70
2010,11,12,114
2010,11,13,101
2010,11,14,108
2010,11,15,55
2010,11,16,42
2010,11,17,42
2010,11,18,50
2010,11,19,64
2010,11,20,60
2010,11,21,59
2010,11,22,50
2010,11,23,40
2010,11,24,29
2010,11,25,22
2010,11,26,-2
2010,11,27,0
2010,11,28,-19
2010,11,29,-14
2010,11,30,-16
2010,12,01,-58
2010,12,02,-65
2010,12,03,-49
2010,12,04,-17
2010,12,05,26
2010,12,06,-1
2010,12,07,-21
2010,12,08,-17
2010,12,09,34
2010,12,10,44
2010,12,11,74
2010,12,12,34
2010,12,13,-9
2010,12,14,-25
2010,12,15,17
2010,12,16,18
2010,12,17,-18
2010,12,18,-38
2010,12,19,-50
2010,12,20,-74
2010,12,21,-40
2010,12,22,-19
2010,12,23,-1
2010,12,24,-6
2010,12,25,-16
2010,12,26,6
2010,12,27,-1
2010,12,28,8
2010,12,29,9
2010,12,30,0
2010,12,31,38
2011,01,01,41
2011,01,02,18
2011,01,03,2
2011,01,04,12
2011,01,05,4
2011,01,06,45
2011,01,07,45
2011,01,08,79
2011,01,09,29
2011,01,10,10
2011,01,11,32
2011,01,12,52
2011,01,13,94
2011,01,14,95
2011,01,15,86
2011,01,16,96
2011,01,17,78
2011,01,18,39
2011,01,19,36
2011,01,20,24
2011,01,21,9
2011,01,22,48
2011,01,23,57
2011,01,24,57
2011,01,25,45
2011,01,26,19
2011,01,27,1
2011,01,28,-17
2011,01,29,-19
2011,01,30,-2
2011,01,31,-3
2011,02,01,7
2011,02,02,44
2011,02,03,59
2011,02,04,67
2011,02,05,94
2011,02,06,90
2011,02,07,81
2011,02,08,41
2011,02,09,33
2011,02,10,70
2011,02,11,67
2011,02,12,51
2011,02,13,53
2011,02,14,60
2011,02,15,57
2011,02,16,62
2011,02,17,40
2011,02,18,11
2011,02,19,21
2011,02,20,3
2011,02,21,-17
2011,02,22,-17
2011,02,23,3
2011,02,24,51
2011,02,25,76
2011,02,26,75
2011,02,27,47
2011,02,28,28
2011,03,01,25
2011,03,02,19
2011,03,03,7
2011,03,04,0
2011,03,05,29
2011,03,06,34
2011,03,07,26
2011,03,08,31
2011,03,09,61
2011,03,10,77
2011,03,11,65
2011,03,12,85
2011,03,13,106
2011,03,14,103
2011,03,15,108
2011,03,16,71
2011,03,17,54
2011,03,18,63
2011,03,19,47
2011,03,20,48
2011,03,21,-1
2011,03,22,79
2011,03,23,81
2011,03,24,94
2011,03,25,93
2011,03,26,53
2011,03,27,55
2011,03,28,49
2011,03,29,67
2011,03,30,93
2011,03,31,108
2011,04,01,118
2011,04,02,147
2011,04,03,107
2011,04,04,97
2011,04,05,98
2011,04,06,134
2011,04,07,108
2011,04,08,92
2011,04,09,100
2011,04,10,112
2011,04,11,122
2011,04,12,79
2011,04,13,84
2011,04,14,90
2011,04,15,101
2011,04,16,104
2011,04,17,118
2011,04,18,136
2011,04,19,161
2011,04,20,173
2011,04,21,175
2011,04,22,194
2011,04,23,187
2011,04,24,179
2011,04,25,168
2011,04,26,144
2011,04,27,119
2011,04,28,143
2011,04,29,167
2011,04,30,151
2011,05,01,132
2011,05,02,107
2011,05,03,86
2011,05,04,85
2011,05,05,111
2011,05,06,159
2011,05,07,206
2011,05,08,203
2011,05,09,156
2011,05,10,160
2011,05,11,142
2011,05,12,133
2011,05,13,135
2011,05,14,120
2011,05,15,115
2011,05,16,133
2011,05,17,136
2011,05,18,142
2011,05,19,130
2011,05,20,136
2011,05,21,158
2011,05,22,147
2011,05,23,157
2011,05,24,134
2011,05,25,157
2011,05,26,145
2011,05,27,122
2011,05,28,130
2011,05,29,156
2011,05,30,183
2011,05,31,129
2011,06,01,136
2011,06,02,164
2011,06,03,184
2011,06,04,200
2011,06,05,161
2011,06,06,149
2011,06,07,153
2011,06,08,143
2011,06,09,145
2011,06,10,134
2011,06,11,121
2011,06,12,145
2011,06,13,158
2011,06,14,160
2011,06,15,169
2011,06,16,155
2011,06,17,149
2011,06,18,147
2011,06,19,140
2011,06,20,154
2011,06,21,171
2011,06,22,152
2011,06,23,155
2011,06,24,143
2011,06,25,147
2011,06,26,197
2011,06,27,247
2011,06,28,242
2011,06,29,161
2011,06,30,150
2011,07,01,142
2011,07,02,139
2011,07,03,147
2011,07,04,156
2011,07,05,182
2011,07,06,175
2011,07,07,182
2011,07,08,176
2011,07,09,168
2011,07,10,166
2011,07,11,182
2011,07,12,179
2011,07,13,135
2011,07,14,145
2011,07,15,174
2011,07,16,163
2011,07,17,158
2011,07,18,149
2011,07,19,161
2011,07,20,171
2011,07,21,165
2011,07,22,150
2011,07,23,136
2011,07,24,129
2011,07,25,146
2011,07,26,153
2011,07,27,173
2011,07,28,184
2011,07,29,152
2011,07,30,146
2011,07,31,145
2011,08,01,160
2011,08,02,210
2011,08,03,188
2011,08,04,191
2011,08,05,185
2011,08,06,180
2011,08,07,168
2011,08,08,156
2011,08,09,144
2011,08,10,155
2011,08,11,174
2011,08,12,169
2011,08,13,171
2011,08,14,175
2011,08,15,162
2011,08,16,176
2011,08,17,169
2011,08,18,158
2011,08,19,154
2011,08,20,170
2011,08,21,194
2011,08,22,178
2011,08,23,189
2011,08,24,176
2011,08,25,173
2011,08,26,178
2011,08,27,144
2011,08,28,143
2011,08,29,133
2011,08,30,135
2011,08,31,140
2011,09,01,129
2011,09,02,172
2011,09,03,211
2011,09,04,184
2011,09,05,155
2011,09,06,152
2011,09,07,155
2011,09,08,151
2011,09,09,177
2011,09,10,206
2011,09,11,167
2011,09,12,169
2011,09,13,158
2011,09,14,145
2011,09,15,139
2011,09,16,140
2011,09,17,148
2011,09,18,118
2011,09,19,131
2011,09,20,156
2011,09,21,156
2011,09,22,145
2011,09,23,136
2011,09,24,139
2011,09,25,159
2011,09,26,169
2011,09,27,163
2011,09,28,169
2011,09,29,188
2011,09,30,178
2011,10,01,174
2011,10,02,171
2011,10,03,181
2011,10,04,173
2011,10,05,173
2011,10,06,138
2011,10,07,111
2011,10,08,104
2011,10,09,122
2011,10,10,171
2011,10,11,157
2011,10,12,113
2011,10,13,101
2011,10,14,90
2011,10,15,78
2011,10,16,81
2011,10,17,121
2011,10,18,114
2011,10,19,91
2011,10,20,77
2011,10,21,74
2011,10,22,64
2011,10,23,84
2011,10,24,94
2011,10,25,100
2011,10,26,103
2011,10,27,109
2011,10,28,121
2011,10,29,124
2011,10,30,130
2011,10,31,132
2011,11,01,126
2011,11,02,112
2011,11,03,142
2011,11,04,147
2011,11,05,128
2011,11,06,116
2011,11,07,101
2011,11,08,89
2011,11,09,88
2011,11,10,71
2011,11,11,74
2011,11,12,66
2011,11,13,55
2011,11,14,29
2011,11,15,16
2011,11,16,21
2011,11,17,36
2011,11,18,67
2011,11,19,44
2011,11,20,38
2011,11,21,23
2011,11,22,46
2011,11,23,84
2011,11,24,83
2011,11,25,94
2011,11,26,95
2011,11,27,102
2011,11,28,53
2011,11,29,76
2011,11,30,77
2011,12,01,89
2011,12,02,64
2011,12,03,87
2011,12,04,84
2011,12,05,60
2011,12,06,55
2011,12,07,69
2011,12,08,74
2011,12,09,62
2011,12,10,48
2011,12,11,41
2011,12,12,66
2011,12,13,77
2011,12,14,50
2011,12,15,50
2011,12,16,41
2011,12,17,45
2011,12,18,26
2011,12,19,21
2011,12,20,61
2011,12,21,61
2011,12,22,94
2011,12,23,90
2011,12,24,64
2011,12,25,97
2011,12,26,113
2011,12,27,89
2011,12,28,69
2011,12,29,70
2011,12,30,51
2011,12,31,83
2012,01,01,113
2012,01,02,42
2012,01,03,73
2012,01,04,73
2012,01,05,42
2012,01,06,67
2012,01,07,79
2012,01,08,72
2012,01,09,80
2012,01,10,68
2012,01,11,87
2012,01,12,79
2012,01,13,55
2012,01,14,40
2012,01,15,20
2012,01,16,-2
2012,01,17,-7
2012,01,18,31
2012,01,19,67
2012,01,20,47
2012,01,21,78
2012,01,22,68
2012,01,23,53
2012,01,24,34
2012,01,25,45
2012,01,26,50
2012,01,27,33
2012,01,28,30
2012,01,29,-5
2012,01,30,-17
2012,01,31,-36
2012,02,01,-40
2012,02,02,-55
2012,02,03,-69
2012,02,04,-115
2012,02,05,-67
2012,02,06,-71
2012,02,07,-77
2012,02,08,-32
2012,02,09,-43
2012,02,10,-57
2012,02,11,-71
2012,02,12,-32
2012,02,13,27
2012,02,14,48
2012,02,15,56
2012,02,16,56
2012,02,17,67
2012,02,18,68
2012,02,19,28
2012,02,20,27
2012,02,21,67
2012,02,22,71
2012,02,23,97
2012,02,24,77
2012,02,25,56
2012,02,26,64
2012,02,27,65
2012,02,28,86
2012,02,29,78
2012,03,01,85
2012,03,02,74
2012,03,03,90
2012,03,04,69
2012,03,05,59
2012,03,06,61
2012,03,07,44
2012,03,08,56
2012,03,09,74
2012,03,10,89
2012,03,11,77
2012,03,12,74
2012,03,13,78
2012,03,14,62
2012,03,15,79
2012,03,16,80
2012,03,17,89
2012,03,18,64
2012,03,19,50
2012,03,20,74
2012,03,21,94
2012,03,22,117
2012,03,23,118
2012,03,24,103
2012,03,25,92
2012,03,26,101
2012,03,27,103
2012,03,28,97
2012,03,29,84
2012,03,30,83
2012,03,31,68
2012,04,01,54
2012,04,02,80
2012,04,03,89
2012,04,04,70
2012,04,05,55
2012,04,06,54
2012,04,07,51
2012,04,08,65
2012,04,09,90
2012,04,10,96
2012,04,11,81
2012,04,12,75
2012,04,13,70
2012,04,14,74
2012,04,15,66
2012,04,16,53
2012,04,17,50
2012,04,18,81
2012,04,19,86
2012,04,20,80
2012,04,21,77
2012,04,22,94
2012,04,23,95
2012,04,24,90
2012,04,25,98
2012,04,26,114
2012,04,27,124
2012,04,28,97
2012,04,29,121
2012,04,30,156
2012,05,01,135
2012,05,02,139
2012,05,03,122
2012,05,04,93
2012,05,05,88
2012,05,06,89
2012,05,07,105
2012,05,08,128
2012,05,09,151
2012,05,10,177
2012,05,11,132
2012,05,12,89
2012,05,13,96
2012,05,14,109
2012,05,15,95
2012,05,16,81
2012,05,17,107
2012,05,18,134
2012,05,19,144
2012,05,20,155
2012,05,21,185
2012,05,22,204
2012,05,23,216
2012,05,24,216
2012,05,25,203
2012,05,26,201
2012,05,27,203
2012,05,28,158
2012,05,29,132
2012,05,30,150
2012,05,31,138
2012,06,01,122
2012,06,02,120
2012,06,03,92
2012,06,04,89
2012,06,05,117
2012,06,06,139
2012,06,07,160
2012,06,08,153
2012,06,09,129
2012,06,10,146
2012,06,11,154
2012,06,12,131
2012,06,13,117
2012,06,14,130
2012,06,15,148
2012,06,16,163
2012,06,17,163
2012,06,18,144
2012,06,19,153
2012,06,20,177
2012,06,21,177
2012,06,22,157
2012,06,23,159
2012,06,24,136
2012,06,25,139
2012,06,26,164
2012,06,27,181
2012,06,28,221
2012,06,29,188
2012,06,30,185
2012,07,01,156
2012,07,02,171
2012,07,03,189
2012,07,04,218
2012,07,05,220
2012,07,06,192
2012,07,07,185
2012,07,08,168
2012,07,09,165
2012,07,10,165
2012,07,11,154
2012,07,12,144
2012,07,13,156
2012,07,14,148
2012,07,15,146
2012,07,16,156
2012,07,17,170
2012,07,18,166
2012,07,19,150
2012,07,20,147
2012,07,21,137
2012,07,22,158
2012,07,23,199
2012,07,24,218
2012,07,25,220
2012,07,26,205
2012,07,27,204
2012,07,28,179
2012,07,29,163
2012,07,30,155
2012,07,31,153
2012,08,01,201
2012,08,02,179
2012,08,03,182
2012,08,04,178
2012,08,05,177
2012,08,06,173
2012,08,07,166
2012,08,08,169
2012,08,09,163
2012,08,10,165
2012,08,11,165
2012,08,12,193
2012,08,13,191
2012,08,14,208
2012,08,15,222
2012,08,16,188
2012,08,17,219
2012,08,18,244
2012,08,19,249
2012,08,20,203
2012,08,21,200
2012,08,22,182
2012,08,23,175
2012,08,24,182
2012,08,25,172
2012,08,26,160
2012,08,27,172
2012,08,28,179
2012,08,29,179
2012,08,30,158
2012,08,31,137
2012,09,01,152
2012,09,02,162
2012,09,03,172
2012,09,04,178
2012,09,05,156
2012,09,06,149
2012,09,07,171
2012,09,08,183
2012,09,09,199
2012,09,10,189
2012,09,11,156
2012,09,12,130
2012,09,13,137
2012,09,14,153
2012,09,15,141
2012,09,16,150
2012,09,17,168
2012,09,18,132
2012,09,19,100
2012,09,20,114
2012,09,21,130
2012,09,22,108
2012,09,23,96
2012,09,24,139
2012,09,25,134
2012,09,26,133
2012,09,27,122
2012,09,28,136
2012,09,29,129
2012,09,30,124
2012,10,01,142
2012,10,02,140
2012,10,03,129
2012,10,04,118
2012,10,05,126
2012,10,06,103
2012,10,07,93
2012,10,08,91
2012,10,09,93
2012,10,10,96
2012,10,11,95
2012,10,12,114
2012,10,13,90
2012,10,14,89
2012,10,15,102
2012,10,16,110
2012,10,17,117
2012,10,18,142
2012,10,19,163
2012,10,20,143
2012,10,21,126
2012,10,22,152
2012,10,23,140
2012,10,24,121
2012,10,25,108
2012,10,26,59
2012,10,27,43
2012,10,28,57
2012,10,29,81
2012,10,30,69
2012,10,31,80
2012,11,01,79
2012,11,02,68
2012,11,03,65
2012,11,04,58
2012,11,05,67
2012,11,06,77
2012,11,07,104
2012,11,08,106
2012,11,09,90
2012,11,10,98
2012,11,11,81
2012,11,12,65
2012,11,13,91
2012,11,14,85
2012,11,15,35
2012,11,16,38
2012,11,17,54
2012,11,18,59
2012,11,19,46
2012,11,20,93
2012,11,21,67
2012,11,22,74
2012,11,23,59
2012,11,24,44
2012,11,25,100
2012,11,26,77
2012,11,27,63
2012,11,28,59
2012,11,29,35
2012,11,30,23
2012,12,01,39
2012,12,02,33
2012,12,03,35
2012,12,04,51
2012,12,05,13
2012,12,06,8
2012,12,07,5
2012,12,08,-10
2012,12,09,62
2012,12,10,33
2012,12,11,5
2012,12,12,23
2012,12,13,-10
2012,12,14,49
2012,12,15,79
2012,12,16,68
2012,12,17,61
2012,12,18,53
2012,12,19,53
2012,12,20,33
2012,12,21,51
2012,12,22,71
2012,12,23,94
2012,12,24,96
2012,12,25,84
2012,12,26,77
2012,12,27,72
2012,12,28,67
2012,12,29,106
2012,12,30,81
2012,12,31,94
2013,01,01,71
2013,01,02,68
2013,01,03,101
2013,01,04,91
2013,01,05,81
2013,01,06,80
2013,01,07,71
2013,01,08,77
2013,01,09,67
2013,01,10,54
2013,01,11,6
2013,01,12,4
2013,01,13,-14
2013,01,14,-31
2013,01,15,-25
2013,01,16,-53
2013,01,17,-46
2013,01,18,-15
2013,01,19,-39
2013,01,20,-47
2013,01,21,-21
2013,01,22,-42
2013,01,23,-45
2013,01,24,-37
2013,01,25,-46
2013,01,26,-14
2013,01,27,32
2013,01,28,49
2013,01,29,105
2013,01,30,72
2013,01,31,76
2013,02,01,49
2013,02,02,41
2013,02,03,49
